Topic,Count,Name,Representation,Representative_Docs
14,11,14_have_you_no_warranties,"['have', 'you', 'no', 'warranties', 'there', 'longer', 'still', 'matter', 'extended', 'so']","['There is no need to sacrifice performance and still show you care about the planet. You don’t have to turn green to show you care about the future.', 'Longer warranties, the longer you help save resources! We have extended warranties now for 7-10 years instead of 3-5 like most other dealers. With extended warranties, you can also save on electricity longer. Come see what we have to offer!', 'There are many options available on the market for people looking to save energy. These brands have been shown to work effectively and still keep homes environmentally friendly. No matter what type of appliance you need, we have the best options that you can feel good about every time you use it.']"
15,10,15_safe_earth_lives_republican,"['safe', 'earth', 'lives', 'republican', 'are', 'beliefs', 'lie', 'pretend', 'me', 'equals']","['Safe choices equals to safe lives', 'Safe energy. Save the planet.', 'safe energy']"
16,10,16_while_saving_best_dough,"['while', 'saving', 'best', 'dough', 'personal', 'energysaver', 'coststhe', 'responsibility', 'worlds', 'money']","['Saving money while taking personal responsibility for your environmental impact.', 'Save money while saving the world.', 'Save the planet while saving money.']"
17,10,17_not_only_but_also,"['not', 'only', 'but', 'also', 'saves', 'they', 'advantage', 'ultimately', 'woke', 'surrounding']","['Buy energy-saving home appliances, and not only save money but save the planet.', 'Not only do you save money, but you also help the environment with these energy-saving appliances!', 'Energy saving appliances not only save the planet, but they also save your wallet!']"
18,10,18_cost_low_same_more,"['cost', 'low', 'same', 'more', 'approach', 'effectiveness', '2026', 'balanced', '2025', 'improved']","['Energy Cost for an energy saving future', 'Energy-saving appliances: Low cost, high reward.', 'Low cost up front, low cost over time, low impact to the environment']"
19,10,19_help_earth_environment_enviornment,"['help', 'earth', 'environment', 'enviornment', 'please', 'consumption', 'first', 'heres', 'you', 'to']","['Our appliances help you and the environment.', 'Help save our planet! These energy saving appliances can help you help earth', 'Buy energy saving appliances to help the environment and to help you save money']"
20,9,20_be_to_ok_kind,"['be', 'to', 'ok', 'kind', 'free', 'is', 'change', 'us', 'definitely', 'compast']","['these energy saving appliances help folks to be able to be energy efficient', 'Be kind to the environment and it will be kind to us.', 'The energy saving home appliances is definitely going to help a whole lot, having to be free from environmental hazards, which is actually a good thing to be informed about a situation that makes a us grow into being in a good position to be healthy and ok, this is needed to be ok.']"
21,8,21_energyefficient_efficient_itself_lifespan,"['energyefficient', 'efficient', 'itself', 'lifespan', 'planetsaving', 'buy', 'natural', 'up', 'think', 'pay']","['Buy energy-efficient appliances!', 'Buying an energy efficient appliances will pay for itself over time!', 'Costs down, savings up, and a longer lifespan? Think energy-efficient appliances!']"
22,8,22_world_certainty_late_thr,"['world', 'certainty', 'late', 'thr', 'insert', 'uncertain', 'wait', 'till', 'name', 'comfort']","[""Sustainable and friendly living starts here and now, do not wait till it's late, save yourself and the world."", 'Save energy, Save the world!', 'save the world']"
23,8,23_our_planet_ours_futures,"['our', 'planet', 'ours', 'futures', 'shine', 'harm', 'must', 'another', 'patriotic', 'mean']","['We must be patriotic and take care of our planet', 'energy saving appliances . save energy and our planet', ""Protecting our planet doesn't mean sacrificing quality and our appliances shine.""]"
24,8,24_buy_drain_washing_machine,"['buy', 'drain', 'washing', 'machine', 'let', 'products', 'back', 'our', 'comes', 'greenhouse']","['the science tells the truth, save our earth for your children and family, buy our energy saving appliances.', ""Buy our fridges brought to you by your friendly neighbor uncle sam, and they don't even hurt the environment!"", ""Don't let you washing machine send money down the drain. Buy our energy-saving washing machine and let that money drain back into your bank account.""]"
25,8,25_affordable_energysaving_home_are,"['affordable', 'energysaving', 'home', 'are', 'try', 'to', 'appliances', 'communities', 'convenient', 'already']","['Affordable, convenient, and doing good - try energy-saving home appliances today!', ""it's easy, affordable, and efficient to switch to energy-saving home appliances today to better our home and communities"", 'These energy-saving home appliances are affordable and help you to show you care about the environment. Try them now']"
26,7,26_difference_make_big_change,"['difference', 'make', 'big', 'change', 'finances', 'engergy', 'efficientit', 'commiting', 'choiceenergy', 'generation']","['Yes You can make a difference, Starting at home!!', 'Every little change can make a big difference!', 'We need to save our earth from climate change. Commiting your finances to energy saving appliances will make a big difference for the next generation of kids.']"
27,7,27_smart_bang_payment_buck,"['smart', 'bang', 'payment', 'buck', 'themselves', 'sustainable', 'for', 'healthier', 'greener', 'pay']","['Smart appliances that pay for themselves.', 'Smart appliances for a sustainable home: conserve energy, save the environment.', 'Smart Appliances for a bang for your buck that will last']"
28,7,28_upgrade_cut_america_standards,"['upgrade', 'cut', 'america', 'standards', 'emission', 'boost', 'watt', 'secure', 'emissions', 'deserves']","['Protecting the planet starts at home- upgrade to the energy standards our future deserves! \n', 'Cut bills, cut emission s -upgrade to efficient', 'Cut bills, cut emissions, upgrade to efficient .']"
29,7,29_go_green_ever_political,"['go', 'green', 'ever', 'political', 'saver', 'stars', 'demo', 'shouldnt', 'health', 'economy']","['Support the economy for future generations go eco green!', 'Go Green Go Demo', 'Go green for good']"
30,7,30_future_or_link_decides,"['future', 'or', 'link', 'decides', 'consequences', 'outcome', 'testing', 'suffer', 'nowso', 'hard']","['save the future', ""This isn't left or right. This is for the future!"", 'You can act now or suffer the consequences in the future. The first step may be hard but the outcome will benefit everyone.']"
31,7,31_by_using_purchase_home,"['by', 'using', 'purchase', 'home', 'everyday', 'corporations', 'contributing', 'gun', 'produce', 'citizen']","['Save money by using energy-saving home appliances and help the corporations that produce these.', 'Become a profound citizen by using energy saving home appliances. You are contributing to the world when you do.', 'By using energy-saving home appliances you get to save money towards that new gun purchase while also promoting a healthier planet and smarter electrical usage.']"
32,7,32_way_continue_light_expensive,"['way', 'continue', 'light', 'expensive', 'to', 'bit', 'later', 'sustainability', 'lives', 'designed']","['The RIGHT way to save your energy!', 'light our way to sustainability', 'A bit more expensive, but energy efficient appliance are they way to go!']"
33,6,33_with_far_magical_ease,"['with', 'far', 'magical', 'ease', 'abilities', 'places', 'carbon', 'their', 'footprint', 'away']","['Save money with our appliances!', 'Reduce your carbon footprint. Save money with efficiency. Invest in our planet.', 'Our appliances will take you to far away places with their magical abilities']"
34,6,34_that_saves_you_deserve,"['that', 'saves', 'you', 'deserve', 'usbased', 'efficiently', 'proven', 'reliability', 'protects', 'things']","['""U.S.-based appliances that save you money without sacrificing the reliability you deserve!""', 'Appliances that are proven to save you money over time, by doing things efficiently.', 'A home that saves you money and as a Republican you know you love that green']"
35,6,35_good_win_product_finding,"['good', 'win', 'product', 'finding', 'alongside', 'appliancrs', 'focused', 'forward', 'lookinggood', 'marketing']","['good looking,good environment', '""Good for your wallet, good for our planet. Buy energy star efficient today!""', ""A good product is a good product. Let's prioritize the environment alongside great home appliances. It's a win-win.""]"
36,6,36_sustainable_protect_smart_billssmart,"['sustainable', 'protect', 'smart', 'billssmart', 'future', 'planet', 'for', 'home', 'empower', 'appliances']","['Power your home , protect the planet- smart appliances for a sustainable future.', 'Save Energy, Protect the Planet. Smart Appliances for a Sustainable Home.', 'Save Energy, Protect the Planet, Smart Appliances for a Sustainable Home']"
37,5,37_win_enviroment_steward_land,"['win', 'enviroment', 'steward', 'land', 'become', 'independent', 'money', 'by', 'being', 'lets']","['Save money and help the environment by using energy-efficient appliances!', 'Save money AND help save the enviroment. Its a win win!', 'Save money and become energy independent by being a steward of the land!']"
38,5,38_an_appliance_government_dependance,"['an', 'appliance', 'government', 'dependance', 'beat', 'regulation', 'reliant', 'oversight', 'reduce', 'conservative']","['Save the planet and your money. Buy an energy-saving home appliance today!', 'Save money and reduce your dependance on the government, use an energy smart appliance today!', 'Beat government regulation and oversight and reduce costs - get this energy saving home appliance and be more self reliant']"
39,5,39_one_time_at_step,"['one', 'time', 'at', 'step', 'together', 'earths', 'appliance', 'stop', 'world', 'our']","['Save The Planet, One Appliance at a Time!', 'save the world together one step at a time', 'Together, we can save our planet one step at a time']"
40,5,40_empower_brag_fits_shop,"['empower', 'brag', 'fits', 'shop', 'values', 'home', 'your', 'grid', 'highefficiency', 'budget']","['Empower your home!', 'Shop for energy saving, make your home something to brag about!', 'Empower your home and the planet: High-efficiency performance that fits your budget and your values.']"
41,4,41_are_packaging_bank_break,"['are', 'packaging', 'bank', 'break', 'wont', 'that', 'covered', 'authorities', 'cannot', 'biodegradable']","[""Energy-saving home appliances that won't break the bank"", ""Looking for home appliances that are built to last, energy-saving and won't break the bank? We've got you covered!"", 'hello, am x from an energy saving home appliances company, we deal in manufacture and sale of energy saving home appliances that are also eco friendly. We package in such away that the packaging materials can be recycled, re used and cannot harm the environment in any way since they are biodegradable. They include pea nut packaging and use os cardboards that are certified by relevant authorities. Our appliances are easy to unwrap and set up.']"
42,4,42_boxes_lasting_affordably_priced,"['boxes', 'lasting', 'affordably', 'priced', 'option', 'saving', 'solutions', 'conservative', 'economically', 'practical']","['Affordably priced - money saving', 'Energy saving solutions: the economically conservative option.', 'Long lasting, practical, money saving. These appliances check all the boxes.']"
43,4,43_for_ecoboost_active_lifestyle,"['for', 'ecoboost', 'active', 'lifestyle', 'strong', 'name', 'brand', 'your', 'here', 'product']","['Save for your home. Save for your planet.', '""Smart for your home. Strong for our planet""', 'For your home.  For the Earth.  (Product Brand Name Here).']"
44,4,44_too_will_upgraded_imagine,"['too', 'will', 'upgraded', 'imagine', 'efficient', 'green', 'act', 'kitchen', 'benefit', 'living']","['New energy-efficient appliance will save you money and will help save the planet!', 'Energy efficient appliances can save the planet, energy and you will save money too!', 'Imagine living in an upgraded kitchen with energy efficient appliances that will save you money and help save the planet too.']"
45,4,45_buying_create_by_jobs,"['buying', 'create', 'by', 'jobs', 'too', 'can', 'generations', 'keep', 'safe', 'together']","['Save energy by buying our appliances.', 'Together, we can create a better world by using smarter, energy saving appliances.', 'By buying energy-saving appliances, you too can help create more American jobs.']"
46,4,46_of_pocket_own_keep,"['of', 'pocket', 'own', 'keep', 'just', 'your', 'affriad', 'areas', 'highperformance', 'hardearned']","['Save the climate keep your bulbs burning bright at the savings of your own pocket!', 'JUST BECAUSE YOUR AFFRIAD OF CHANGE, THINK OF IT LIKE LIVING IN YOUR OWN BUBBLE GO DREEN', 'Take control of your utility bills. Our high-performance appliances are engineered to slash monthly costs and keep more of your hard-earned money in your pocket. It’s not just an upgrade—it’s a smart investment in your home’s financial independence.']"
47,4,47_care_choosing_it_above,"['care', 'choosing', 'it', 'above', 'its', 'all', 'of', 'where', 'live', 'love']","['All Of The Above -- For Generations To Come.', ""We only have one Earth, and it is our home. Let's take care of it by choosing energy-efficient appliances."", ""Love where you live; care for it as if it's your own""]"
48,4,48_trump_approved_stick_behaving,"['trump', 'approved', 'stick', 'behaving', 'it', 'way', 'is', 'better', 'of', 'energy']","['Trump approved energy saving... a better way of behaving', 'It is trump approved.', 'Trump approved!']"
49,4,49_invest_in_necessary_night,"['invest', 'in', 'necessary', 'night', 'install', 'guarantee', 'tools', 'module', 'half', '50']","['Save planet earth every night in your kitchen', 'Invest in your home, invest in our future. Efficiency that works for you, and for everyone.', 'Invest in this saving module where it guarantee to cut your electric bill in half by 50% easy to install no tools necessary']"
